,0
0,-13.2
1,-13.2
2,-13.2
3,-39.599999999999994
4,-52.8
5,-52.8
6,-65.99999999999999
7,-79.19999999999999
8,-92.39999999999999
9,-79.19999999999999
10,-105.6
11,-118.8
12,-92.4
13,-132.00000000000003
14,-145.20000000000002
15,-132.0
16,-158.40000000000003
17,-171.60000000000002
18,-184.8
19,-198.0
20,-211.2
21,-198.0
22,-224.40000000000006
23,-237.60000000000002
24,-250.80000000000007
25,-237.60000000000008
26,-264.00000000000006
27,-277.2000000000001
28,-290.40000000000003
29,-290.40000000000003
30,-303.6000000000001
31,-316.8
32,-330.00000000000006
33,-330.00000000000006
34,-343.2000000000001
35,-356.4000000000001
36,-369.6
37,-369.6
38,-382.8
39,-382.80000000000007
40,-409.20000000000005
41,-396.00000000000006
42,-422.3999999999999
43,-435.59999999999997
44,-448.8
45,-448.8
46,-461.9999999999999
47,-475.1999999999999
48,-488.39999999999975
49,-488.39999999999975
50,-501.59999999999974
51,-501.5999999999996
52,-514.7999999999996
53,-527.9999999999995
54,-541.1999999999996
55,-554.3999999999995
56,-567.5999999999996
57,-567.5999999999996
58,-567.5999999999996
59,-567.5999999999996
60,-607.1999999999996
61,-607.1999999999996
62,-620.3999999999996
63,-633.5999999999996
64,-646.7999999999996
65,-633.5999999999996
66,-659.9999999999995
67,-673.1999999999996
68,-686.3999999999995
69,-686.3999999999995
70,-699.5999999999996
71,-712.7999999999995
72,-725.9999999999995
73,-712.7999999999995
74,-739.1999999999995
75,-752.3999999999995
76,-765.5999999999996
77,-765.5999999999996
78,-778.7999999999995
79,-778.7999999999995
80,-791.9999999999994
81,-791.9999999999994
82,-805.1999999999994
83,-831.5999999999993
84,-844.7999999999994
85,-844.7999999999994
86,-831.5999999999993
87,-831.5999999999993
88,-831.5999999999993
89,-831.5999999999993
90,-831.5999999999993
91,-831.5999999999993
92,-831.5999999999993
93,-831.5999999999993
94,-831.5999999999993
95,-831.5999999999993
96,-831.5999999999993
97,-818.3999999999993
98,-818.3999999999993
99,-805.1999999999992
100,-791.9999999999992
101,-791.9999999999992
102,-791.9999999999992
103,-791.9999999999992
104,-791.9999999999992
105,-778.7999999999992
106,-778.7999999999992
107,-765.5999999999991
108,-765.5999999999991
109,-765.5999999999991
110,-765.5999999999991
111,-765.5999999999991
112,-765.5999999999991
113,-765.5999999999991
114,-765.5999999999991
115,-765.5999999999991
116,-765.5999999999991
117,-765.5999999999991
118,-765.5999999999991
119,-765.5999999999991
120,-765.5999999999991
121,-765.5999999999991
122,-765.5999999999991
123,-765.5999999999991
124,-765.5999999999991
125,-765.5999999999991
126,-752.3999999999991
127,-752.3999999999991
128,-752.3999999999991
129,-752.3999999999991
130,-752.3999999999991
131,-725.9999999999991
132,-725.9999999999991
133,-725.9999999999991
134,-725.9999999999991
135,-725.9999999999991
136,-725.9999999999991
137,-725.9999999999991
138,-712.799999999999
139,-712.799999999999
140,-712.799999999999
141,-712.799999999999
142,-699.599999999999
143,-699.599999999999
144,-699.599999999999
145,-699.599999999999
146,-699.599999999999
147,-686.399999999999
148,-686.399999999999
149,-686.399999999999
150,-686.399999999999
151,-686.399999999999
152,-686.399999999999
153,-686.399999999999
154,-673.1999999999989
155,-673.1999999999989
156,-673.1999999999989
157,-673.1999999999989
158,-659.9999999999989
159,-659.9999999999989
160,-659.9999999999989
161,-646.7999999999988
162,-633.5999999999988
163,-633.5999999999988
164,-633.5999999999988
165,-633.5999999999988
166,-620.3999999999987
167,-607.1999999999987
168,-607.1999999999987
169,-607.1999999999987
170,-607.1999999999987
171,-607.1999999999987
172,-607.1999999999987
173,-607.1999999999987
174,-593.9999999999986
175,-580.7999999999986
176,-580.7999999999986
177,-580.7999999999986
178,-580.7999999999986
179,-580.7999999999986
180,-567.5999999999985
181,-567.5999999999985
182,-567.5999999999985
183,-567.5999999999985
184,-567.5999999999985
185,-554.3999999999985
186,-554.3999999999985
187,-541.1999999999985
188,-541.1999999999985
189,-527.9999999999984
190,-514.7999999999984
191,-514.7999999999984
192,-514.7999999999984
