,0
0,0.0
1,-13.2
2,-26.399999999999995
3,-39.599999999999994
4,-39.599999999999994
5,-52.8
6,-65.99999999999999
7,-52.79999999999998
8,-79.19999999999999
9,-79.19999999999999
10,-105.6
11,-105.6
12,-105.6
13,-132.00000000000003
14,-132.00000000000003
15,-145.20000000000005
16,-158.40000000000003
17,-171.60000000000002
18,-171.60000000000002
19,-184.80000000000004
20,-198.00000000000003
21,-198.00000000000003
22,-211.20000000000005
23,-224.40000000000003
24,-224.40000000000003
25,-237.60000000000002
26,-250.8
27,-264.00000000000006
28,-264.00000000000006
29,-277.20000000000005
30,-290.40000000000003
31,-290.40000000000003
32,-290.40000000000003
33,-316.80000000000007
34,-330.00000000000006
35,-316.80000000000007
36,-343.20000000000005
37,-356.4000000000001
38,-369.6000000000001
39,-356.4000000000001
40,-382.80000000000007
41,-396.00000000000006
42,-382.80000000000007
43,-409.19999999999993
44,-422.3999999999999
45,-422.3999999999999
46,-435.5999999999998
47,-448.7999999999998
48,-461.99999999999966
49,-461.99999999999966
50,-475.19999999999965
51,-488.3999999999995
52,-488.3999999999995
53,-501.5999999999995
54,-514.7999999999995
55,-527.9999999999994
56,-527.9999999999994
57,-527.9999999999994
58,-554.3999999999994
59,-554.3999999999994
60,-567.5999999999995
61,-567.5999999999993
62,-593.9999999999993
63,-593.9999999999993
64,-607.1999999999994
65,-620.3999999999994
66,-620.3999999999994
67,-633.5999999999995
68,-646.7999999999994
69,-659.9999999999994
70,-659.9999999999994
71,-673.1999999999995
72,-686.3999999999994
73,-686.3999999999994
74,-686.3999999999994
75,-712.7999999999995
76,-725.9999999999994
77,-725.9999999999994
78,-739.1999999999995
79,-739.1999999999995
80,-725.9999999999994
81,-752.3999999999994
82,-778.7999999999994
83,-791.9999999999994
84,-791.9999999999994
85,-805.1999999999995
86,-818.3999999999994
87,-805.1999999999994
88,-831.5999999999993
89,-844.7999999999994
90,-831.5999999999993
91,-831.5999999999993
92,-831.5999999999993
93,-831.5999999999993
94,-818.3999999999993
95,-818.3999999999993
96,-818.3999999999993
97,-818.3999999999993
98,-818.3999999999993
99,-818.3999999999993
100,-818.3999999999993
101,-818.3999999999993
102,-818.3999999999993
103,-818.3999999999993
104,-818.3999999999993
105,-818.3999999999993
106,-805.1999999999992
107,-791.9999999999992
108,-778.7999999999992
109,-765.5999999999991
110,-765.5999999999991
111,-765.5999999999991
112,-752.3999999999991
113,-752.3999999999991
114,-752.3999999999991
115,-752.3999999999991
116,-739.199999999999
117,-739.199999999999
118,-739.199999999999
119,-739.199999999999
120,-739.199999999999
121,-739.199999999999
122,-739.199999999999
123,-699.599999999999
124,-686.399999999999
125,-686.399999999999
126,-686.399999999999
127,-673.1999999999989
128,-646.7999999999989
129,-646.7999999999989
130,-646.7999999999989
131,-646.7999999999989
132,-646.7999999999989
133,-646.7999999999989
134,-646.7999999999989
135,-646.7999999999989
136,-633.5999999999989
137,-620.3999999999988
138,-620.3999999999988
139,-620.3999999999988
140,-620.3999999999988
141,-620.3999999999988
142,-620.3999999999988
143,-607.1999999999988
144,-607.1999999999988
145,-607.1999999999988
146,-593.9999999999987
147,-593.9999999999987
148,-593.9999999999987
149,-593.9999999999987
150,-593.9999999999987
151,-580.7999999999987
152,-580.7999999999987
153,-567.5999999999987
154,-554.3999999999986
155,-541.1999999999986
156,-541.1999999999986
157,-541.1999999999986
158,-541.1999999999986
159,-541.1999999999986
160,-541.1999999999986
161,-541.1999999999986
162,-541.1999999999986
163,-527.9999999999985
164,-501.59999999999854
165,-501.59999999999854
166,-488.39999999999856
167,-488.39999999999856
168,-488.39999999999856
169,-488.39999999999856
170,-475.19999999999857
171,-475.19999999999857
172,-475.19999999999857
173,-475.19999999999857
174,-461.9999999999986
175,-461.9999999999986
176,-448.7999999999986
177,-448.7999999999986
178,-448.7999999999986
179,-448.7999999999986
180,-435.5999999999986
181,-435.5999999999986
182,-435.5999999999986
183,-435.5999999999986
184,-422.3999999999986
185,-409.1999999999986
186,-409.1999999999986
187,-409.1999999999986
188,-409.1999999999986
189,-409.1999999999986
190,-395.99999999999864
191,-395.99999999999864
192,-395.99999999999864
