,0
0,0.0
1,0.0
2,-26.399999999999995
3,-26.399999999999995
4,-26.39999999999998
5,-26.399999999999984
6,-66.0
7,-79.19999999999999
8,-79.19999999999999
9,-92.40000000000003
10,-105.60000000000002
11,-118.80000000000004
12,-118.80000000000004
13,-132.00000000000003
14,-132.00000000000003
15,-158.40000000000003
16,-158.40000000000003
17,-171.60000000000002
18,-184.80000000000004
19,-184.80000000000004
20,-198.00000000000003
21,-211.20000000000002
22,-224.4
23,-224.4
24,-237.6
25,-250.80000000000007
26,-264.00000000000006
27,-250.80000000000007
28,-277.20000000000005
29,-290.40000000000003
30,-290.4000000000001
31,-303.6000000000001
32,-303.6000000000001
33,-316.80000000000007
34,-343.2000000000001
35,-343.2000000000001
36,-356.4000000000001
37,-369.6000000000001
38,-369.6000000000001
39,-356.4000000000001
40,-396.00000000000006
41,-395.99999999999994
42,-409.19999999999993
43,-409.2
44,-435.5999999999999
45,-448.7999999999998
46,-448.7999999999998
47,-461.9999999999998
48,-475.1999999999997
49,-475.19999999999976
50,-475.19999999999976
51,-475.19999999999965
52,-514.7999999999996
53,-527.9999999999995
54,-527.9999999999995
55,-541.1999999999996
56,-554.3999999999995
57,-554.3999999999995
58,-567.5999999999995
59,-580.7999999999995
60,-593.9999999999995
61,-593.9999999999995
62,-607.1999999999995
63,-620.3999999999995
64,-633.5999999999995
65,-620.3999999999994
66,-607.1999999999995
67,-646.7999999999994
68,-659.9999999999993
69,-673.1999999999994
70,-686.3999999999994
71,-699.5999999999993
72,-712.7999999999994
73,-712.7999999999994
74,-725.9999999999994
75,-739.1999999999994
76,-739.1999999999994
77,-739.1999999999994
78,-765.5999999999993
79,-778.7999999999994
80,-778.7999999999994
81,-778.7999999999994
82,-805.1999999999992
83,-818.3999999999992
84,-805.1999999999991
85,-805.1999999999991
86,-805.1999999999991
87,-805.1999999999991
88,-805.1999999999991
89,-805.1999999999991
90,-805.1999999999991
91,-805.1999999999991
92,-805.1999999999991
93,-805.1999999999991
94,-791.9999999999991
95,-778.799999999999
96,-778.799999999999
97,-778.799999999999
98,-765.599999999999
99,-765.599999999999
100,-765.599999999999
101,-765.599999999999
102,-765.599999999999
103,-765.599999999999
104,-765.599999999999
105,-752.399999999999
106,-752.399999999999
107,-739.1999999999989
108,-739.1999999999989
109,-739.1999999999989
110,-739.1999999999989
111,-739.1999999999989
112,-725.9999999999989
113,-725.9999999999989
114,-725.9999999999989
115,-712.7999999999988
116,-712.7999999999988
117,-712.7999999999988
118,-712.7999999999988
119,-712.7999999999988
120,-712.7999999999988
121,-712.7999999999988
122,-699.5999999999988
123,-699.5999999999988
124,-699.5999999999988
125,-686.3999999999987
126,-686.3999999999987
127,-686.3999999999987
128,-686.3999999999987
129,-673.1999999999987
130,-673.1999999999987
131,-659.9999999999986
132,-659.9999999999986
133,-659.9999999999986
134,-659.9999999999986
135,-659.9999999999986
136,-646.7999999999986
137,-633.5999999999985
138,-620.3999999999985
139,-607.1999999999985
140,-607.1999999999985
141,-607.1999999999985
142,-607.1999999999985
143,-593.9999999999984
144,-580.7999999999984
145,-580.7999999999984
146,-580.7999999999984
147,-567.5999999999983
148,-567.5999999999983
149,-567.5999999999983
150,-567.5999999999983
151,-567.5999999999983
152,-541.1999999999983
153,-541.1999999999983
154,-541.1999999999983
155,-541.1999999999983
156,-541.1999999999983
157,-527.9999999999983
158,-527.9999999999983
159,-527.9999999999983
160,-527.9999999999983
161,-501.5999999999983
162,-488.39999999999833
163,-488.39999999999833
164,-475.19999999999834
165,-475.19999999999834
166,-475.19999999999834
167,-475.19999999999834
168,-461.99999999999835
169,-461.99999999999835
170,-461.99999999999835
171,-461.99999999999835
172,-448.79999999999836
173,-448.79999999999836
174,-448.79999999999836
175,-448.79999999999836
176,-448.79999999999836
177,-448.79999999999836
178,-448.79999999999836
179,-448.79999999999836
180,-435.5999999999984
181,-422.3999999999984
182,-409.1999999999984
183,-409.1999999999984
184,-409.1999999999984
185,-409.1999999999984
186,-409.1999999999984
187,-409.1999999999984
188,-409.1999999999984
189,-409.1999999999984
190,-409.1999999999984
191,-409.1999999999984
192,-395.9999999999984
