,0
0,-13.2
1,-13.2
2,-26.4
3,-39.599999999999994
4,-39.599999999999994
5,-52.8
6,-66.0
7,-65.99999999999999
8,-79.19999999999999
9,-92.39999999999999
10,-105.6
11,-105.6
12,-118.8
13,-132.0
14,-145.20000000000002
15,-158.4
16,-145.20000000000002
17,-171.60000000000002
18,-184.8
19,-198.00000000000003
20,-198.00000000000003
21,-198.00000000000003
22,-224.40000000000003
23,-237.60000000000002
24,-237.60000000000002
25,-250.8
26,-250.8
27,-277.20000000000005
28,-277.20000000000005
29,-277.20000000000005
30,-303.6
31,-316.80000000000007
32,-316.80000000000007
33,-330.00000000000006
34,-343.20000000000005
35,-356.40000000000003
36,-356.40000000000003
37,-369.6
38,-382.80000000000007
39,-396.00000000000006
40,-382.80000000000007
41,-409.20000000000005
42,-422.40000000000003
43,-435.6
44,-435.6
45,-448.8
46,-448.7999999999999
47,-475.1999999999999
48,-475.1999999999999
49,-488.39999999999975
50,-501.59999999999974
51,-514.7999999999996
52,-514.7999999999996
53,-527.9999999999997
54,-541.1999999999996
55,-554.3999999999996
56,-554.3999999999996
57,-554.3999999999996
58,-580.7999999999996
59,-580.7999999999995
60,-593.9999999999995
61,-607.1999999999996
62,-620.3999999999995
63,-620.3999999999995
64,-620.3999999999995
65,-646.7999999999995
66,-659.9999999999995
67,-646.7999999999995
68,-673.1999999999995
69,-686.3999999999994
70,-699.5999999999995
71,-699.5999999999995
72,-712.7999999999995
73,-725.9999999999995
74,-739.1999999999995
75,-739.1999999999995
76,-752.3999999999995
77,-765.5999999999995
78,-778.7999999999995
79,-765.5999999999995
80,-791.9999999999994
81,-805.1999999999995
82,-818.3999999999994
83,-818.3999999999994
84,-818.3999999999994
85,-805.1999999999994
86,-805.1999999999994
87,-805.1999999999994
88,-805.1999999999994
89,-805.1999999999994
90,-791.9999999999993
91,-791.9999999999993
92,-791.9999999999993
93,-791.9999999999993
94,-791.9999999999993
95,-791.9999999999993
96,-791.9999999999993
97,-791.9999999999993
98,-791.9999999999993
99,-778.7999999999993
100,-778.7999999999993
101,-778.7999999999993
102,-778.7999999999993
103,-778.7999999999993
104,-778.7999999999993
105,-778.7999999999993
106,-765.5999999999992
107,-765.5999999999992
108,-752.3999999999992
109,-739.1999999999991
110,-739.1999999999991
111,-739.1999999999991
112,-725.9999999999991
113,-712.799999999999
114,-712.799999999999
115,-712.799999999999
116,-712.799999999999
117,-699.599999999999
118,-699.599999999999
119,-699.599999999999
120,-699.599999999999
121,-699.599999999999
122,-699.599999999999
123,-699.599999999999
124,-699.599999999999
125,-699.599999999999
126,-699.599999999999
127,-699.599999999999
128,-699.599999999999
129,-699.599999999999
130,-699.599999999999
131,-686.399999999999
132,-686.399999999999
133,-673.1999999999989
134,-659.9999999999989
135,-659.9999999999989
136,-659.9999999999989
137,-659.9999999999989
138,-659.9999999999989
139,-659.9999999999989
140,-659.9999999999989
141,-659.9999999999989
142,-646.7999999999988
143,-646.7999999999988
144,-646.7999999999988
145,-646.7999999999988
146,-633.5999999999988
147,-633.5999999999988
148,-620.3999999999987
149,-607.1999999999987
150,-593.9999999999986
151,-593.9999999999986
152,-593.9999999999986
153,-593.9999999999986
154,-580.7999999999986
155,-580.7999999999986
156,-580.7999999999986
157,-567.5999999999985
158,-567.5999999999985
159,-567.5999999999985
160,-567.5999999999985
161,-554.3999999999985
162,-554.3999999999985
163,-541.1999999999985
164,-541.1999999999985
165,-541.1999999999985
166,-541.1999999999985
167,-541.1999999999985
168,-541.1999999999985
169,-541.1999999999985
170,-541.1999999999985
171,-541.1999999999985
172,-541.1999999999985
173,-541.1999999999985
174,-541.1999999999985
175,-527.9999999999984
176,-527.9999999999984
177,-527.9999999999984
178,-527.9999999999984
179,-514.7999999999984
180,-514.7999999999984
181,-501.5999999999984
182,-488.3999999999984
183,-488.3999999999984
184,-488.3999999999984
185,-475.1999999999984
186,-475.1999999999984
187,-461.9999999999984
188,-448.7999999999984
189,-448.7999999999984
190,-448.7999999999984
191,-448.7999999999984
192,-448.7999999999984
